date,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5447470817120622,0.5354166666666667,0.1844577209451314,0.4329861111111111,0.10243055555555555,0.5677626303127506,0.44745762711864406,0.5304798962386511,0.0,0.4878048780487805,0.2847222222222222,-0.020538317317207868,0.0,0.2847222222222222,0,0.4878048780487805,0.26666666666666666,0.0,0.6,0.1388888888888889,-0.04741492731483111,0.0,0.1388888888888889,0,0.6,0.16901408450704225,0.0
1,0.5172943889315911,0.4517361111111111,0.8552391479380269,0.321875,0.12986111111111112,0.5717367853290184,0.38235294117647056,0.42477302204928663,0.0,0.5555555555555556,0.5,0.01901397285622307,0.4722222222222222,0.027777777777777776,0.5588235294117647,0.5,0.5333333333333333,0.0,0.45454545454545453,0.6111111111111112,0.00811239000263842,0.6041666666666666,0.006944444444444444,0.45977011494252873,0.0,0.5633802816901409,0.0
2,0.5700400228702116,0.6072916666666667,2.399936314102102,0.3975694444444444,0.20972222222222223,0.6122270742358079,0.4900662251655629,0.6297016861219196,0.0,0.5632183908045977,0.6041666666666666,0.03785131168790768,0.3958333333333333,0.20833333333333334,0.543859649122807,0.6,0.6533333333333333,0.0,0.5288461538461539,0.7222222222222222,0.0034665727552584667,0.5277777777777778,0.19444444444444445,0.5,0.6071428571428571,0.7605633802816901,0.0
3,0.6528143082588111,0.6600694444444445,5.716600687540778,0.39861111111111114,0.26145833333333335,0.6890243902439024,0.5976095617529881,0.7859922178988327,0.0,0.48717948717948717,0.8125,-0.03701130532976548,0.4027777777777778,0.4097222222222222,0.5,0.4745762711864407,0.76,0.0,0.4852941176470588,0.9444444444444444,-0.07204686820186847,0.4861111111111111,0.4583333333333333,0.4714285714285714,0.5,0.9154929577464789,0.0
4,0.6648301193755739,0.75625,8.238554259657644,0.4097222222222222,0.34652777777777777,0.7093220338983051,0.6122244488977956,0.9182879377431906,0.0,0.46875,0.6666666666666666,0.0013680721633747197,0.3055555555555556,0.3611111111111111,0.5227272727272727,0.4230769230769231,0.6,0.0,0.4642857142857143,0.5833333333333334,-0.10152268470584003,0.3402777777777778,0.24305555555555555,0.4489795918367347,0.4857142857142857,0.5352112676056338,0.0
5,0.7184643510054844,0.7597222222222222,10.008609399977786,0.4010416666666667,0.35868055555555556,0.7584415584415585,0.6737657308809293,0.9974059662775616,0.0,0.48739495798319327,0.8263888888888888,0.04515240686444775,0.3888888888888889,0.4375,0.5,0.47619047619047616,0.76,0.0,0.5,0.8333333333333334,-0.048397080665531785,0.4027777777777778,0.4305555555555556,0.4827586206896552,0.5161290322580645,0.8309859154929577,0.0
6,0.7458659704090513,0.7979166666666667,11.557126275293909,0.41944444444444445,0.3784722222222222,0.7715231788079471,0.7174311926605504,1.0894941634241244,0.0,0.46616541353383456,0.9236111111111112,0.057532438977280845,0.3611111111111111,0.5625,0.4807692307692308,0.4567901234567901,0.8133333333333334,0.0,0.5106382978723404,0.9791666666666666,-0.04595153932487003,0.3958333333333333,0.5833333333333334,0.5087719298245614,0.5119047619047619,1.0,0.0
7,0.7523046092184369,0.8663194444444444,12.588244696586907,0.4395833333333333,0.4267361111111111,0.7851500789889415,0.7184703010577705,1.1906614785992218,0.0,0.4785714285714286,0.9722222222222222,0.04604434874573491,0.5416666666666666,0.4305555555555556,0.48717948717948717,0.46774193548387094,0.88,0.0,0.5,0.9722222222222222,-0.021859398821783175,0.5416666666666666,0.4305555555555556,0.5,0.5,0.971830985915493,0.0
8,0.766412213740458,0.9097222222222222,14.048286609055543,0.4892361111111111,0.4204861111111111,0.7892122072391767,0.7398843930635838,1.2769130998702982,0.0,0.4962962962962963,0.9375,0.1246039286916075,0.5138888888888888,0.4236111111111111,0.527027027027027,0.45901639344262296,0.8933333333333333,0.0,0.4338235294117647,0.9444444444444444,-0.12060436361436946,0.5833333333333334,0.3611111111111111,0.4523809523809524,0.40384615384615385,0.8169014084507042,0.0
9,0.787047619047619,0.9114583333333334,15.79596878086539,0.49618055555555557,0.4152777777777778,0.8033589923023093,0.7675585284280937,1.3138780804150454,0.0,0.5069444444444444,1.0,0.05062837717069305,0.375,0.625,0.5370370370370371,0.4888888888888889,0.96,0.0,0.4444444444444444,1.0,-0.1512460950033192,0.2777777777777778,0.7222222222222222,0.4,0.46153846153846156,0.8873239436619719,0.0
