iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec,Walk,Date
0,0.5386684599865501,0.5163194444444444,-0.1125553558207458,0.4475694444444445,0.06875,0.5539177657098526,0.4393939393939394,0.5026007802340702,0.0,0.5,0.5277777777777778,0.08067144736765555,0.5277777777777778,0.0,0.5,0.0,0.5211267605633803,0.0,0.5512820512820513,0.5416666666666666,0.07372174041690215,0.5416666666666666,0.0,0.5512820512820513,0.0,0.5060240963855421,0.0,6,30/03/2019
1,0.6045602605863192,0.5329861111111112,2.6228288993546744,0.3663194444444444,0.16666666666666666,0.6568720379146921,0.4895833333333333,0.58777633289987,0.0,0.5172413793103449,0.8055555555555556,0.11795374947535416,0.4791666666666667,0.3263888888888889,0.4927536231884058,0.5531914893617021,0.8309859154929577,0.0,0.4833333333333333,0.8333333333333334,0.027731759522151008,0.3888888888888889,0.4444444444444444,0.5714285714285714,0.40625,0.6746987951807228,0.0,6,30/03/2019
2,0.6058394160583942,0.6659722222222222,4.377236290309683,0.3670138888888889,0.2989583333333333,0.6669820245979187,0.5307781649245064,0.7360208062418726,0.0,0.5182481751824818,0.9513888888888888,0.07523811829575476,0.19444444444444445,0.7569444444444444,0.5357142857142857,0.5137614678899083,0.9859154929577464,0.0,0.4351145038167939,0.9097222222222222,-0.04297029731732692,0.1111111111111111,0.7986111111111112,0.625,0.40869565217391307,0.6626506024096386,0.0,6,30/03/2019
3,0.6560344827586206,0.8055555555555556,8.022194831198625,0.3631944444444444,0.4423611111111111,0.7313575525812621,0.5941915227629513,0.9655396618985695,0.0,0.5043478260869565,0.7986111111111112,0.06068159684430838,0.7083333333333334,0.09027777777777778,0.4901960784313725,0.6153846153846154,0.8028169014084507,0.0,0.6176470588235294,0.7083333333333334,0.10748434617597696,0.5625,0.14583333333333334,0.654320987654321,0.4761904761904762,0.7349397590361446,0.0,6,30/03/2019
4,0.7320833333333333,0.8333333333333334,11.73457590586124,0.4520833333333333,0.38125,0.7549923195084486,0.7049180327868853,1.11963589076723,0.0,0.5087719298245614,0.7916666666666666,0.09429600495143717,0.5555555555555556,0.2361111111111111,0.525,0.4705882352941176,0.8169014084507042,0.0,0.5643564356435643,0.7013888888888888,0.0256771596320011,0.3819444444444444,0.3194444444444444,0.6181818181818182,0.5,0.6626506024096386,0.0,6,30/03/2019
5,0.7557715674362092,0.8572916666666667,13.214213258306213,0.465625,0.39166666666666666,0.7658463832960477,0.7437943262411347,1.1898569570871262,0.0,0.4405594405594406,0.9930555555555556,-0.0553167462977421,0.6597222222222222,0.3333333333333333,0.4526315789473685,0.4166666666666667,0.8732394366197183,0.0,0.5104895104895105,0.9930555555555556,0.01951810503653153,0.5902777777777778,0.4027777777777778,0.5882352941176471,0.3965517241379311,0.8554216867469879,0.0,6,30/03/2019
6,0.7784687135639331,0.8934027777777778,14.528407922593631,0.4892361111111111,0.4041666666666667,0.7877927608232789,0.7671821305841925,1.277633289986996,0.0,0.4755244755244755,0.9930555555555556,0.048947897870688574,0.6458333333333334,0.3472222222222222,0.4731182795698925,0.48,0.943661971830986,0.0,0.5664335664335665,0.9930555555555556,0.06784452996248079,0.4861111111111111,0.5069444444444444,0.6571428571428571,0.4794520547945205,0.9518072289156626,0.0,6,30/03/2019
7,0.8008490930142802,0.8996527777777777,14.58611668618079,0.4927083333333334,0.4069444444444445,0.8033826638477801,0.7977815699658704,1.3237971391417425,0.0,0.5034965034965035,0.9930555555555556,0.1117909037310968,0.5625,0.4305555555555556,0.4938271604938271,0.5161290322580645,1.0,0.0,0.5422535211267606,0.9861111111111112,0.030904317500927925,0.4722222222222222,0.5138888888888888,0.6323529411764706,0.4594594594594595,0.9036144578313252,0.0,6,30/03/2019
8,0.8078967350037966,0.9145833333333332,15.498892494441085,0.4836805555555556,0.4309027777777778,0.8219669777458722,0.7921031426269137,1.3582574772431728,0.0,0.4577464788732394,0.9861111111111112,-0.004668767738437954,0.625,0.3611111111111111,0.4555555555555556,0.4615384615384616,0.9014084507042254,0.0,0.5524475524475524,0.9930555555555556,0.053214066298891,0.5555555555555556,0.4375,0.625,0.4603174603174603,0.927710843373494,0.0,6,30/03/2019
9,0.8212290502793296,0.9322916666666666,16.155485904101194,0.5041666666666667,0.428125,0.8278236914600551,0.8134630981346309,1.4109232769830948,0.0,0.4814814814814815,0.9375,0.1007351647571396,0.4305555555555556,0.5069444444444444,0.5,0.4657534246575342,0.9014084507042254,0.0,0.5111111111111111,0.9375,-0.007285849308033431,0.3125,0.625,0.6444444444444445,0.4444444444444444,0.8072289156626506,0.0,6,30/03/2019
